licensor,style_guide,characters,decision_status,suggested_existing_mg06_code,suggested_existing_mg06_desc,decision_basis,folder_property,folder_leaf_match,folder_confidence,fuzzy_mg06_code,fuzzy_mg06_desc,fuzzy_confidence,final_mg06_code
Dis/Mrv/SW,Lady And The Tramp,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Lightyear,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,"Little Mermaid, The (Live Action)",2,NEEDS_REVIEW,,,,The Little Mermaid,,70%,GDL,GABBY'S DOLLHOUSE LIVE ACTION 2025,33%,
Dis/Mrv/SW,Minnie,3,NEEDS_REVIEW,,,,_Packaging,467122-Minnie-Mouse_-Adult-and-Tween-Branding Packaging-Jun 2024,57%,,,,
Dis/Mrv/SW,Moana (Live-Action),1,NEEDS_REVIEW,,,,Moana Live Action,,100%,GDL,GABBY'S DOLLHOUSE LIVE ACTION 2025,40%,
Dis/Mrv/SW,Moana 2,1,NEEDS_REVIEW,,,,_Packaging,2419461-Moana-2,70%,,,,
Dis/Mrv/SW,MS Disney Plus TV Shows - No Likeness,179,NEEDS_REVIEW,,,,Disney+ Shows,,70%,,,,
Dis/Mrv/SW,MS Disney Plus TV Shows - With Likeness,37,NEEDS_REVIEW,,,,Disney+ Shows,,70%,,,,
Dis/Mrv/SW,Muppet Babies (2018),1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Oswald The Lucky Rabbit,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pete's Dragon (2016),1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pete's Dragon (Classic),2,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pinocchio,3,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 2: Dead Man's Chest,42,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 3: At Worlds End,53,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 4: On Stranger Tides,22,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pirates of the Caribbean 5: Dead Men Tell No Tales,14,NEEDS_REVIEW,,,,Marvel Universe Publishing Art Archive,X-MEN,57%,XM,X-MEN,57%,
Dis/Mrv/SW,Pirates of the Caribbean: Curse of the Black Pearl,18,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pixar Collection,59,NEEDS_REVIEW,,,,Pixar,,70%,,,,
Dis/Mrv/SW,Pixar Shorts - Luxo Jr,1,NEEDS_REVIEW,,,,Pixar,,60%,,,,
Dis/Mrv/SW,Pixar Studios Logo,1,NEEDS_REVIEW,,,,Pixar,,63%,,,,
Dis/Mrv/SW,Pocahontas,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Preschool CG Mickey (& Friends),2,NEEDS_REVIEW,,,,_Packaging,Mickey-and-Friends_-Branding,70%,FN,FRIENDS,60%,
Dis/Mrv/SW,Preschool CG Minnie (& Friends),4,NEEDS_REVIEW,,,,,,,FN,FRIENDS,60%,
Dis/Mrv/SW,Puppy Dog Pals,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Pupstruction,2,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Ratatouille,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Raya and the Last Dragon,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Robin Hood,1,NEEDS_REVIEW,,,,Robin Hood,,100%,,,,
Dis/Mrv/SW,Soul,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Standard Characters,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Steamboat Willie,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Strange World,1,NEEDS_REVIEW,,,,,,,DR,DR. STRANGE,33%,
Dis/Mrv/SW,Suite Life of Zack and Cody,12,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,T.O.T.S. (TINY ONES TRANSPORT SERVICE),1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,That's So Raven,9,NEEDS_REVIEW,,,,Disney Channel,Thats So Raven,50%,,,,
Dis/Mrv/SW,The Good Dinosaur,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,The Incredibles 2,2,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Tsum Tsum,63,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Turning Red,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Vampirina Ballerina,1,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Wall-E,1,NEEDS_REVIEW,,,,Pixar,WALL-E_-Product-Development-Style-Guide-07-Jun-15-obj0b01d6368003ce23-FULL,55%,,,,
Dis/Mrv/SW,Wizards of Waverly Place,8,NEEDS_REVIEW,,,,,,,,,,
Dis/Mrv/SW,Wreck-It Ralph 2,1,NEEDS_REVIEW,,,,,,,T7,IT 2017,63%,
Marvel,Marvel Comics (Retro),911,NEEDS_REVIEW,,,,Style Guide - Opportunity,Marvel Comics,77%,MG,MARVEL RETRO GROUP,50%,
Marvel,Marvel Cross-Franchise Art Packs,271,NEEDS_REVIEW,,,,Style Guide - Evergreen Priorities,Marvel Cross-Franchise,80%,,,,
Marvel,Marvel Games,175,NEEDS_REVIEW,,,,,,,CM,CAPTAIN MARVEL,33%,
Marvel,Marvel Seasonal,91,NEEDS_REVIEW,,,,Marvel Universe Publishing Art Archive,,70%,CM,CAPTAIN MARVEL,33%,
Marvel,Marvel Studios Collection - No Likeness,126,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios: The Infinity Saga - No Likeness,142,NEEDS_REVIEW,,,,Theatrical Releases,Infinity Saga logos,40%,,,,
Marvel,Marvel Studios: The Infinity Saga - With Likeness,88,NEEDS_REVIEW,,,,Theatrical Releases,Infinity Saga logos,40%,,,,
Marvel,Marvel Studios' Ant-Man Wasp Quantumania - No Likeness,19,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Ant-Man Wasp Quantumania - With Likeness,11,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Avengers Doomsday - No Likeness,33,NEEDS_REVIEW,,,,Theatrical Releases,Avengers Doomsday,70%,,,,
Marvel,Marvel Studios' Avengers Doomsday - With Likeness,1,NEEDS_REVIEW,,,,Theatrical Releases,Avengers Doomsday,70%,,,,
Marvel,Marvel Studios' Avengers Secret Wars - No Likeness,5,NEEDS_REVIEW,,,,Avengers,,58%,,,,
Marvel,Marvel Studios' Avengers Secret Wars - With Likeness,1,NEEDS_REVIEW,,,,Avengers,,58%,,,,
Marvel,Marvel Studios' Deadpool Movie 3 - No Likeness,28,NEEDS_REVIEW,,,,Theatrical Releases,Deadpool 3,60%,DP,DEADPOOL,60%,
Marvel,Marvel Studios' Deadpool Movie 3 - With Likeness,6,NEEDS_REVIEW,,,,Theatrical Releases,Deadpool 3,60%,DP,DEADPOOL,60%,
Marvel,Marvel Studios' Fantastic Four - No Likeness,16,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Fantastic Four - With Likeness,4,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' GOTG Vol. 3 - No Likeness,15,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' GOTG Vol. 3 - With Likeness,11,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Thunderbolts - No Likeness,12,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Studios' Thunderbolts - With Likeness,1,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel Universe,1041,NEEDS_REVIEW,,,,Marvel Universe Publishing Art Archive,,100%,CM,CAPTAIN MARVEL,33%,
Marvel,Marvel's Moon Girl and Devil Dinosaur,6,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvel's Spidey and His Amazing Friends,40,NEEDS_REVIEW,,,,Style Guide - Evergreen Priorities,Spidey and Friends,66%,SX,SPIDEY & FRIENDS,66%,
Marvel,Marvels' Blade Movie - No Likeness,3,NEEDS_REVIEW,,,,,,,,,,
Marvel,Marvels' Blade Movie - With Likeness,1,NEEDS_REVIEW,,,,,,,,,,
Marvel,MS Captain America New World Order - No Likeness,6,NEEDS_REVIEW,,,,,,,CA,CAPTAIN AMERICA,63%,
Marvel,MS Captain America New World Order - With Likeness,1,NEEDS_REVIEW,,,,,,,CA,CAPTAIN AMERICA,63%,
WB,Black Adam (2022),10,NEEDS_REVIEW,,,,,,,BP,BLACK PANTHER,33%,
WB,Blue Beetle (2023),11,NEEDS_REVIEW,,,,,,,,,,
WB,Cyborg Core,1,NEEDS_REVIEW,,,,,,,,,,
WB,"Dark Knight Rises, The (2012)",15,NEEDS_REVIEW,,,,,,,,,,
WB,"Dark Knight, The (2008)",25,NEEDS_REVIEW,,,,,,,DM,DARK MARK,33%,
WB,DC League of Super-Pets (2022),16,NEEDS_REVIEW,,,,DC,,60%,,,,
WB,DC Super Friends Collection Comics,55,NEEDS_REVIEW,,,,Friends,,58%,FN,FRIENDS,58%,
WB,DC Super Hero Girls: Animated Series,68,NEEDS_REVIEW,,,,DC,DC Super Hero Girls,77%,,,,
WB,DC Women Core,12,NEEDS_REVIEW,,,,DC,,70%,,,,
WB,Fantastic Beasts and Where To Find Them (2016),26,NEEDS_REVIEW,,,,,,,,,,
WB,Fantastic Beasts: The Crimes of Grindelwald (2018),17,NEEDS_REVIEW,,,,,,,,,,
WB,Fantastic Beasts: The Secrets of Dumbledore (2022),20,NEEDS_REVIEW,,,,,,,DD,DUMBLEDORE,60%,
WB,Gokko x DC,1,NEEDS_REVIEW,,,,DC,,70%,,,,
WB,Gokko x Scooby-Doo,1,NEEDS_REVIEW,,,,Scooby-Doo,,77%,,,,
WB,"Goonies, The (1985)",14,NEEDS_REVIEW,,,,The Goonies,,100%,,,,
WB,Gotham Knights: Video Game,10,NEEDS_REVIEW,,,,,,,,,,
WB,Gremlins (1984),7,NEEDS_REVIEW,,,,Gremlins,,100%,,,,
WB,Gremlins 2: The New Batch (1990),10,NEEDS_REVIEW,,,,Gremlins,,63%,,,,
WB,"Hobbit, The: An Unexpected Journey (2012)",48,NEEDS_REVIEW,,,,,,,,,,
WB,"Hobbit, The: The Battle of the Five Armies (2014)",39,NEEDS_REVIEW,,,,,,,,,,
WB,"Hobbit, The: The Desolation of Smaug (2013)",43,NEEDS_REVIEW,,,,LOTR The Hobbit,The Hobbit - The Desolation of Smaug,100%,,,,
WB,House of the Dragon: Television Series,34,NEEDS_REVIEW,,,,House of the Dragon,,70%,T0,IT 1990 TELEVISION SERIES,40%,
WB,Infinite Crisis: Video Game,25,NEEDS_REVIEW,,,,,,,,,,
WB,Injustice 2: Every Battle Defines You: Video Game,1,NEEDS_REVIEW,,,,,,,,,,
WB,Injustice: Gods Among Us: Video Game,30,NEEDS_REVIEW,,,,,,,,,,
WB,IT (1990): Television Miniseries,2,NEEDS_REVIEW,,,,WB Horror,IT,63%,T7,IT 2017,63%,
WB,"Matrix Reloaded, The (2003) ",24,NEEDS_REVIEW,,,,,,,,,,
WB,"Matrix Resurrections, The (2022)",10,NEEDS_REVIEW,,,,,,,,,,
WB,"Matrix Revolutions, The (2003) ",22,NEEDS_REVIEW,,,,,,,,,,
WB,"Matrix, The (1999)",10,NEEDS_REVIEW,,,,,,,,,,
WB,Multiple Licensed Properties,2,NEEDS_REVIEW,,,,,,,,,,
WB,Peacemaker: Television Series,7,NEEDS_REVIEW,,,,Gilmore Girls,Gilmore Girls Style Guide-Gilmore Girls_ Television Series,40%,T0,IT 1990 TELEVISION SERIES,50%,
WB,SCOOB (2020),22,NEEDS_REVIEW,,,,,,,,,,
WB,Scooby-Doo Core,63,NEEDS_REVIEW,,,,Scooby-Doo,,100%,,,,
WB,Shazam! (2019),17,NEEDS_REVIEW,,,,,,,,,,
WB,Shazam!: Fury of the Gods (2023),19,NEEDS_REVIEW,,,,,,,,,,
WB,Suicide Squad (2016),13,NEEDS_REVIEW,,,,,,,,,,
WB,"Suicide Squad, The (2021)",34,NEEDS_REVIEW,,,,,,,,,,
WB,Suicide Squad: Kill the Justice League: Video Game,1,NEEDS_REVIEW,,,,DC,Justice League,61%,JG,JUSTICE LEAGUE,61%,
WB,Teen Titans Go!: Animated Series,32,NEEDS_REVIEW,,,,,,,,,,
WB,WB 100: Art of the 100th,1,NEEDS_REVIEW,,,,WB 100,,77%,,,,
WB,WB 100: Artist Collaborations,1,NEEDS_REVIEW,,,,WB 100,,70%,,,,
WB,WB 100: Looney Tunes Mashups,70,NEEDS_REVIEW,,,,Looney Tunes,,66%,LT,LOONEY TUNES,66%,
WB,WB 100: Poster Series,1,NEEDS_REVIEW,,,,WB 100,,70%,,,,
WB,Willy Wonka & the Chocolate Factory (1971),18,NEEDS_REVIEW,,,,Wonka (2023),,60%,,,,
WB,Wonka (2023),15,NEEDS_REVIEW,,,,Wonka (2023),,100%,,,,
